id;title;type;description;creation_date;due_date;status
1;dérober;loin;triste à raison de;2024-03-31T01:55:59;2024-03-30T15:07:12;à l'exception de
2;comme;marron là-haut dring;blablabla;2024-03-30T18:10:10;2024-03-30T18:44:40;au dépens de
3;âcre;membre du personnel;autrefois passablement gens;2024-03-31T08:29:34;2024-03-31T01:14:53;d'entre
4;innombrable au-dedans de vaste;fade blême;enfin;2024-03-31T09:43:27;2024-03-30T22:15:54;même si
5;collègue;actionnaire a précisément;outre snob du moment que;2024-03-30T12:44:23;2024-03-31T03:29:52;en dedans de
6;mordre aussitôt que chez;recouvrir même si cot cot;commis de cuisine certainement personnel;2024-03-31T02:42:54;2024-03-31T07:41:15;afin que diplomate foule
7;novice;par suite de sitôt que rectangulaire;ouah si bien que pin-pon;2024-03-30T11:24:03;2024-03-31T00:01:15;quitte à
8;commissionnaire;susciter recta atteindre;enfin pacifique mairie;2024-03-31T04:54:51;2024-03-31T03:37:29;équipe de recherche
9;dépouiller;parler pointer séculaire;malade;2024-03-31T06:23:13;2024-03-31T01:25:54;boire guère avant que
10;loufoque de peur que;complètement meuh;naguère parlementaire athlète;2024-03-31T05:01:24;2024-03-30T16:19:29;autour brusque
